﻿Kód;Název Obce;Status obce;Kód POU;Název POU;Kód ORP;Název ORP;Kód Okresu;Název Okresu;Kód Kraje (VÚSC);Název Kraje (VÚSC)
513695;Horní Smržov;Obec;2721;Letovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
513709;Roubanina;Obec;2721;Letovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
530824;Velenov;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
531006;Ludíkov;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
534692;Újezd u Boskovic;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
553875;Louka;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
553883;Ústup;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
554162;Crhov;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
556963;Spešov;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581283;Blansko;Město;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581291;Adamov;Město;2691;Adamov;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581313;Bedřichov;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581330;Benešov;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581356;Borotín;Obec;2739;Velké Opatovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581364;Bořitov;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581372;Boskovice;Město;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581381;Brťov-Jeneč;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581445;Bukovina;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581453;Bukovinka;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581461;Býkovice;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581470;Cetkovice;Obec;2739;Velké Opatovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581496;Černá Hora;Městys;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581500;Černovice;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581518;Deštná;Obec;2721;Letovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581526;Dlouhá Lhota;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581534;Chrudichromy;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581542;Doubravice nad Svitavou;Městys;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581551;Drnovice;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581569;Habrůvka;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581593;Hodonín;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581615;Holštejn;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581631;Horní Poříčí;Obec;2721;Letovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581666;Jabloňany;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581682;Jedovnice;Městys;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581721;Kněževes;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581739;Knínice;Městys;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581755;Kořenec;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581763;Kotvrdovice;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581771;Kozárov;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581780;Krasová;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581798;Krhov;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581801;Křetín;Obec;2721;Letovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581810;Křtěnov;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581828;Křtiny;Městys;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581836;Kulířov;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
581844;Kunčina Ves;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581852;Kunice;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
581861;Kuničky;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
